job_url,title,company,summary,day_rate
https://www.indeed.co.uk/company/sdfdf/jobs/Web-Developer-1902c96b418b813a?fccid=d01fd21203d661ff,Web Developer,MENG,"<span class=""summary"">
            Proficient knowledge of a back-end programming language such as PHP, <b>Python</b>, Ruby, Java, .NET, JavaScript etc....</span>","£20,000 - £40,000 a year"
https://www.indeed.co.uk/company/sdfdf/jobs/Web-Developer-1902c96b418b813a?fccid=d01fd21203d661ff,Web Developer,MENG,"<span class=""summary"">
            Proficient knowledge of a back-end programming language such as PHP, <b>Python</b>, Ruby, Java, .NET, JavaScript etc....</span>","£20,000 - £40,000 a year"
https://www.indeed.co.uk/company/sdfdf/jobs/Web-Developer-1902c96b418b813a?fccid=d01fd21203d661ff,Web Developer,MENG,"<span class=""summary"">
            Proficient knowledge of a back-end programming language such as PHP, <b>Python</b>, Ruby, Java, .NET, JavaScript etc....</span>","£20,000 - £40,000 a year"
https://www.indeed.co.uk/company/sdfdf/jobs/Web-Developer-1902c96b418b813a?fccid=d01fd21203d661ff,Web Developer,MENG,"<span class=""summary"">
            Proficient knowledge of a back-end programming language such as PHP, <b>Python</b>, Ruby, Java, .NET, JavaScript etc....</span>","£20,000 - £40,000 a year"
https://www.indeed.co.uk/rc/clk?jk=4972a06d6f4e1f17&fccid=d4eed14ccfc4e8e2,Blockchain Developer,Networking People (UK) Limited,"<span class=""summary"">
            Solidity, <b>Python</b>, JavaScript. Blockchain Developer - London - Contract - £££....</span>",£300 - £350 a week
https://www.indeed.co.uk/rc/clk?jk=425c9a094459ff78&fccid=23b85188f37323e3,Front-end Developer,Adhunter,"<span class=""summary"">
            Summary We are looking for a highly motivated designer/front-end developer who takes great pride in their work to join the Adzuna product development team on...</span>","£35,000 - £45,000 a year"
https://www.indeed.co.uk/rc/clk?jk=425c9a094459ff78&fccid=23b85188f37323e3,Front-end Developer,Adhunter,"<span class=""summary"">
            Summary We are looking for a highly motivated designer/front-end developer who takes great pride in their work to join the Adzuna product development team on...</span>","£35,000 - £45,000 a year"
https://www.indeed.co.uk/rc/clk?jk=dfcf5eae26fb2576&fccid=1be6f25e464a99be,Python Developer,YouView,,
https://www.indeed.co.uk/rc/clk?jk=dfcf5eae26fb2576&fccid=1be6f25e464a99be,Python Developer,YouView,,
https://www.indeed.co.uk/rc/clk?jk=84f701fa4bc293e7&fccid=0fa716687f591f69,Scrum Master,Eaglecliff,"<span class=""summary"">
            <b>Python</b>, R, Tensorflow, Databricks, Alteryx). Advanced Analytics Group :....</span>",£550 - £600 a day
